Model,MAE,RMSE,MAPE (%),Forecast M1 (Jan 2019),Forecast M2 (Feb 2019),Forecast M3 (Mar 2019)
SARIMA,17367.071326264315,18547.018853460886,18.59012006861624,49162.95,35811.5,69532.81
Prophet,40061.21726714915,44149.222846986166,41.32797996937988,66700.0,72590.38,75000.0
XGBoost,17819.348697916666,22916.479449348175,17.554177281973722,43213.92,24194.95,45421.08
